timestamp,data,timestamps
1700200148.301933,"[333.52188154107535, 995.7912812023869, 126.72907895503381]"
1700200148.3518095,"[333.4072535607445, 995.9451293439662, 126.51791230277162]"
1700200148.4074113,"[333.3501159547605, 996.0221984147252, 126.41264766659391]"
1700200148.4517984,"[333.1230791431178, 996.332018756088, 125.97727893209078]"
1700200148.5019488,"[332.9543318305916, 996.5657268683274, 125.6399738667986]"
1700200148.5521772,"[332.84254459165015, 996.7220892934267, 125.41121739005554]"
1700200148.6022887,"[332.6759615007534, 996.9574058427058, 125.06353883621263]"
1700200148.6518657,"[332.5656728127829, 997.114867759755, 124.8287036893483]"
1700200148.701859,"[332.40138071705843, 997.3518968246547, 124.46730748268955]"
1700200148.7518325,"[332.23854490362004, 997.5899488094101, 124.10060009316602]"
1700200148.80233,"[332.130976871564, 997.7493842467854, 123.85413300726215]"
1700200148.8523512,"[332.0242026641621, 997.9094201527631, 123.61052046256442]"
1700200148.9018936,"[331.86549883687155, 998.1506063373081, 123.24289306230283]"
1700200148.957267,"[331.7604427488928, 998.3119915786743, 122.99226461300391]"
1700200149.0019443,"[331.60403157672516, 998.554624568111, 122.61453633493302]"
1700200149.051781,"[331.50056332048337, 998.7168123558549, 122.35558761344141]"
1700200149.1017447,"[331.34658316596426, 998.960929329136, 121.97075595714615]"
1700200149.1523638,"[331.2447588669767, 999.124220830254, 121.71595094074594]"
1700200149.2019086,"[331.09317367572066, 999.3700609756288, 121.33153631100215]"
1700200149.2519143,"[330.99281682720806, 999.5347055190643, 121.072622636401]"
1700200149.3073125,"[330.8438370382687, 999.7821036464825, 120.67714724227928]"
1700200149.351896,"[330.7454415980909, 999.9474878846161, 120.41249693430827]"
1700200149.4021995,"[330.69652684842646, 1000.0302467386925, 120.28199381289467]"
1700200149.4518726,"[330.50319743270285, 1000.3621995014003, 119.77952762108562]"
1700200149.501862,"[330.4075629005275, 1000.5287734915211, 119.53155014193443]"
1700200149.5518277,"[330.2658199628854, 1000.7796496366502, 119.14760011876923]"
1700200149.6016662,"[330.1261918850046, 1001.0318554585481, 118.77227083051811]"
1700200149.6520844,"[330.0344699392975, 1001.2007740735539, 118.53018972804888]"
1700200149.702019,"[329.8982126655682, 1001.4549900569104, 118.18162846336607]"
1700200149.7519825,"[329.80774101156874, 1001.6245560828663, 117.94658834539753]"
1700200149.8018377,"[329.71767450925415, 1001.7944439731436, 117.70698786157023]"
1700200149.852692,"[329.58291274755607, 1002.0494566031892, 117.34623524814721]"
1700200149.9180796,"[329.4499355631355, 1002.305686639018, 117.01121092928709]"
1700200149.9519284,"[329.36245229145624, 1002.4771174795203, 116.79687198200652]"
1700200150.0032954,"[329.23216479672834, 1002.7346860800717, 116.47148174658192]"
1700200150.0520346,"[329.1457561786506, 1002.9065745369369, 116.2595412939802]"
1700200150.107321,"[329.0169702421356, 1003.1647200448724, 115.93391278113525]"
1700200150.151885,"[328.93228684808366, 1003.3375117402734, 115.72574813966874]"
1700200150.202323,"[328.8071161396306, 1003.597678359993, 115.42918284118663]"
1700200150.2520533,"[328.72504161331005, 1003.7720032325963, 115.24631770991404]"
1700200150.3019047,"[328.603413395067, 1004.0345564320037, 114.98331956872723]"
1700200150.3518672,"[328.5228098144962, 1004.2100058578964, 114.80164390022232]"
1700200150.4073296,"[328.4825979405347, 1004.2977894367255, 114.70844088177468]"
1700200150.4521186,"[328.3223864330127, 1004.6492091207326, 114.31297679136874]"
1700200150.5070083,"[328.203131275674, 1004.9133946725348, 114.01585296835351]"
1700200150.5517972,"[328.1242358902141, 1005.08996523104, 113.82402725617204]"
1700200150.6020565,"[328.00703483777994, 1005.3555815442346, 113.55024250256811]"
1700200150.6518035,"[327.92974253918476, 1005.533208197694, 113.37849405564153]"
1700200150.702091,"[327.81498083610757, 1005.8004168340256, 113.14094133634167]"
1700200150.752263,"[327.7391486939136, 1005.9789690154921, 112.98455125642217]"
1700200150.8018258,"[327.62644596511774, 1006.2474473686837, 112.75334987141675]"
1700200150.8574984,"[327.552136035427, 1006.4268847089727, 112.59942568833095]"
1700200150.9022605,"[327.4419860577495, 1006.6967162040175, 112.37297813340287]"
1700200150.9571493,"[327.36923829432794, 1006.8768945262498, 112.22410620973086]"
1700200151.0019577,"[327.2607371584371, 1007.1475108401041, 111.99965166918726]"
1700200151.051833,"[327.1886985668782, 1007.3281183827492, 111.84412195162959]"
1700200151.1023965,"[327.0812369659084, 1007.5992199891907, 111.60318283101641]"
1700200151.151888,"[326.974849178915, 1007.8705376461642, 111.36732490829571]"
1700200151.2072825,"[326.9046771770646, 1008.0515998469755, 111.21578159141315]"
1700200151.2517252,"[326.80022159016323, 1008.323366817497, 110.99197264820306]"
1700200151.3018093,"[326.7309657577964, 1008.5044291391832, 110.84210532024038]"
1700200151.3518796,"[326.66205126873984, 1008.6854160683008, 110.68844874865]"
1700200151.4075947,"[326.66205126873984, 1008.6854160683008, 110.68844874865]"
1700200151.4521706,"[326.4925671252162, 1009.1382498661575, 110.33936883722704]"
1700200151.5129824,"[326.3929087640191, 1009.4103242754304, 110.14958389083417]"
1700200151.5520515,"[326.3271437298605, 1009.5917391873943, 110.01867486912478]"
1700200151.6019187,"[326.22947978647323, 1009.8638577961021, 109.81495109972407]"
1700200151.6519647,"[326.16507559163733, 1010.0454061827909, 109.68001966426228]"
1700200151.702047,"[326.06939999738233, 1010.3177965750922, 109.48984082461187]"
1700200151.7520106,"[326.0060071194854, 1010.4993095981639, 109.37288396858482]"
1700200151.8019483,"[325.911227350978, 1010.7713420194564, 109.19616759489448]"
1700200151.8521252,"[325.8483086582369, 1010.952623502661, 109.07910526259032]"
1700200151.91834,"[325.7546981663076, 1011.2246516839803, 108.9192988592758]"
1700200151.9518318,"[325.6928642299131, 1011.4060315543043, 108.81586742792878]"
1700200152.0018554,"[325.6008970545821, 1011.678116797551, 108.65893537274003]"
1700200152.0517895,"[325.54008540570254, 1011.8595101763126, 108.5547036506127]"
1700200152.1019049,"[325.44953050639015, 1012.1315445579255, 108.39914295366124]"
1700200152.152131,"[325.3899843035989, 1012.31307233713, 108.2979541799565]"
1700200152.2018955,"[325.30178197215724, 1012.5852648178998, 108.15895099299128]"
1700200152.2518718,"[325.243592397566, 1012.7667964398403, 108.07251812793938]"
1700200152.301861,"[325.1565190499171, 1013.038875637907, 107.93692121562891]"
1700200152.372865,"[325.09821733540656, 1013.2200068559807, 107.84217211136878]"
